AccountId,TotalUsers,MRR,QttUserReference,QttUserWithAlerts,TotalAlerts,AlertDescription,UsersWithAlertPerc
7576714a-0605-4c82-9271-22dc57708107,11,77,7,0,1,New Feature Usage,0.0
b0d26ee6-fa92-4906-82bd-e024f7acee22,14,53,14,7,13,Complaints,50.0
b0d26ee6-fa92-4906-82bd-e024f7acee22,14,53,14,9,51,Overall Product Usage,64.28571428571429
b0d26ee6-fa92-4906-82bd-e024f7acee22,14,53,9,8,0,New Feature Usage,88.88888888888889
deea959e-a9f5-49fc-b0b3-786801b5577d,6,839,6,0,0,Complaints,0.0
deea959e-a9f5-49fc-b0b3-786801b5577d,6,839,6,0,0,Overall Product Usage,0.0
deea959e-a9f5-49fc-b0b3-786801b5577d,6,839,0,0,1,New Feature Usage,0.0
1978cec0-495c-4a4f-adca-abd594820a06,14,158,14,9,14,Complaints,64.28571428571429
1978cec0-495c-4a4f-adca-abd594820a06,14,158,14,0,0,Overall Product Usage,0.0
1978cec0-495c-4a4f-adca-abd594820a06,14,158,0,0,1,New Feature Usage,0.0
2e80dbd5-93fd-4234-ae71-1399e2b2848b,13,288,13,9,16,Complaints,69.23076923076923
2e80dbd5-93fd-4234-ae71-1399e2b2848b,13,288,13,5,83,Overall Product Usage,38.46153846153847
2e80dbd5-93fd-4234-ae71-1399e2b2848b,13,288,5,3,0,New Feature Usage,60.0
b59a5969-9893-488c-860a-7da1f5cdb941,11,876,11,5,13,Complaints,45.45454545454545
b59a5969-9893-488c-860a-7da1f5cdb941,11,876,11,3,94,Overall Product Usage,27.27272727272727
b59a5969-9893-488c-860a-7da1f5cdb941,11,876,3,0,1,New Feature Usage,0.0
df8960ad-1eab-4cd8-bb78-8b660a4de3e4,16,271,16,13,20,Complaints,81.25
df8960ad-1eab-4cd8-bb78-8b660a4de3e4,16,271,16,16,84,Overall Product Usage,100.0
df8960ad-1eab-4cd8-bb78-8b660a4de3e4,16,271,16,3,0,New Feature Usage,18.75
8e1a11f0-c18c-4da1-8d49-44b6bcb8a084,6,313,6,0,0,Complaints,0.0
8e1a11f0-c18c-4da1-8d49-44b6bcb8a084,6,313,6,2,21,Overall Product Usage,33.33333333333333
8e1a11f0-c18c-4da1-8d49-44b6bcb8a084,6,313,2,0,1,New Feature Usage,0.0
ea80db06-84ab-4616-af05-571896af0dea,5,92,5,4,8,Complaints,80.0
ea80db06-84ab-4616-af05-571896af0dea,5,92,5,1,15,Overall Product Usage,20.0
ea80db06-84ab-4616-af05-571896af0dea,5,92,1,0,1,New Feature Usage,0.0
fbb91133-4d23-4ed5-aa04-f77afad2b6c5,1,203,1,0,0,Complaints,0.0
fbb91133-4d23-4ed5-aa04-f77afad2b6c5,1,203,1,1,78,Overall Product Usage,100.0
fbb91133-4d23-4ed5-aa04-f77afad2b6c5,1,203,1,1,0,New Feature Usage,100.0
8a04f74f-5987-4af1-baa7-25cbf70ae8c0,11,210,11,5,8,Complaints,45.45454545454545
8a04f74f-5987-4af1-baa7-25cbf70ae8c0,11,210,11,0,0,Overall Product Usage,0.0
8a04f74f-5987-4af1-baa7-25cbf70ae8c0,11,210,0,0,1,New Feature Usage,0.0
0ca02f4d-0349-4f84-92e1-fbb062d1c049,2,778,2,0,0,Complaints,0.0
0ca02f4d-0349-4f84-92e1-fbb062d1c049,2,778,2,2,70,Overall Product Usage,100.0
0ca02f4d-0349-4f84-92e1-fbb062d1c049,2,778,2,2,0,New Feature Usage,100.0
fe9e6246-635a-4ce2-941c-b03e71f2f9c4,6,857,6,2,20,Complaints,33.33333333333333
fe9e6246-635a-4ce2-941c-b03e71f2f9c4,6,857,6,1,14,Overall Product Usage,16.666666666666664
fe9e6246-635a-4ce2-941c-b03e71f2f9c4,6,857,1,1,0,New Feature Usage,100.0
5e2503dd-b65b-4045-85bc-647a02ff5f56,7,744,7,0,0,Complaints,0.0
5e2503dd-b65b-4045-85bc-647a02ff5f56,7,744,7,3,75,Overall Product Usage,42.857142857142854
5e2503dd-b65b-4045-85bc-647a02ff5f56,7,744,3,1,0,New Feature Usage,33.33333333333333
7b142708-1f1a-41fa-82e1-dac48334bb82,20,113,20,15,19,Complaints,75.0
7b142708-1f1a-41fa-82e1-dac48334bb82,20,113,20,8,50,Overall Product Usage,40.0
7b142708-1f1a-41fa-82e1-dac48334bb82,20,113,8,7,0,New Feature Usage,87.5
53650fc7-7de6-402d-a048-592203898f4e,20,480,20,2,20,Complaints,10.0
53650fc7-7de6-402d-a048-592203898f4e,20,480,20,4,14,Overall Product Usage,20.0
53650fc7-7de6-402d-a048-592203898f4e,20,480,4,1,0,New Feature Usage,25.0
339bb47e-8cc0-4570-b3d9-0ebdec2fc96a,12,837,12,11,12,Complaints,91.66666666666666
339bb47e-8cc0-4570-b3d9-0ebdec2fc96a,12,837,12,9,24,Overall Product Usage,75.0
339bb47e-8cc0-4570-b3d9-0ebdec2fc96a,12,837,9,7,0,New Feature Usage,77.77777777777779
8e7ae9af-1e8f-4b74-b2d4-f32aa9b04e95,5,131,5,4,12,Complaints,80.0
8e7ae9af-1e8f-4b74-b2d4-f32aa9b04e95,5,131,5,1,35,Overall Product Usage,20.0
8e7ae9af-1e8f-4b74-b2d4-f32aa9b04e95,5,131,1,1,0,New Feature Usage,100.0
f79fcaa0-e47b-442b-aa3a-46677eb14f84,11,286,11,10,11,Complaints,90.9090909090909
f79fcaa0-e47b-442b-aa3a-46677eb14f84,11,286,11,10,75,Overall Product Usage,90.9090909090909
f79fcaa0-e47b-442b-aa3a-46677eb14f84,11,286,10,2,0,New Feature Usage,20.0
49cdbec7-29aa-47a5-a9dd-f4c734085693,5,600,5,4,19,Complaints,80.0
49cdbec7-29aa-47a5-a9dd-f4c734085693,5,600,5,1,14,Overall Product Usage,20.0
49cdbec7-29aa-47a5-a9dd-f4c734085693,5,600,1,0,1,New Feature Usage,0.0
00da5a80-b21a-498f-8505-613817314875,5,53,5,2,10,Complaints,40.0
00da5a80-b21a-498f-8505-613817314875,5,53,5,2,11,Overall Product Usage,40.0
00da5a80-b21a-498f-8505-613817314875,5,53,2,1,0,New Feature Usage,50.0
2f529fb3-e2cc-477b-befe-369aa85dffca,20,867,20,8,8,Complaints,40.0
2f529fb3-e2cc-477b-befe-369aa85dffca,20,867,20,13,49,Overall Product Usage,65.0
2f529fb3-e2cc-477b-befe-369aa85dffca,20,867,13,12,0,New Feature Usage,92.3076923076923
8152a2c5-43a7-4488-988b-2694d9c1aa99,13,117,13,3,10,Complaints,23.076923076923077
8152a2c5-43a7-4488-988b-2694d9c1aa99,13,117,13,8,44,Overall Product Usage,61.53846153846154
8152a2c5-43a7-4488-988b-2694d9c1aa99,13,117,8,3,0,New Feature Usage,37.5
75fb4415-f46d-4e1d-805f-69afca5b2579,14,236,14,12,13,Complaints,85.71428571428571
75fb4415-f46d-4e1d-805f-69afca5b2579,14,236,14,8,77,Overall Product Usage,57.14285714285714
75fb4415-f46d-4e1d-805f-69afca5b2579,14,236,8,8,0,New Feature Usage,100.0
2f2faab7-e0e3-417d-ab3f-4d0a3e46cc1c,1,431,1,1,4,Complaints,100.0
2f2faab7-e0e3-417d-ab3f-4d0a3e46cc1c,1,431,1,0,0,Overall Product Usage,0.0
2f2faab7-e0e3-417d-ab3f-4d0a3e46cc1c,1,431,0,0,1,New Feature Usage,0.0
2d87bab8-650f-4bcf-ad0b-c102549968e7,6,635,6,5,7,Complaints,83.33333333333334
2d87bab8-650f-4bcf-ad0b-c102549968e7,6,635,6,2,22,Overall Product Usage,33.33333333333333
2d87bab8-650f-4bcf-ad0b-c102549968e7,6,635,2,2,0,New Feature Usage,100.0
e4b1455b-84ad-4903-92cf-5d1dae103641,8,473,8,5,9,Complaints,62.5
e4b1455b-84ad-4903-92cf-5d1dae103641,8,473,8,6,28,Overall Product Usage,75.0
e4b1455b-84ad-4903-92cf-5d1dae103641,8,473,6,1,0,New Feature Usage,16.666666666666664
5330d7c5-6ae3-4852-b11f-43a4836170c2,4,119,4,2,19,Complaints,50.0
5330d7c5-6ae3-4852-b11f-43a4836170c2,4,119,4,1,8,Overall Product Usage,25.0
5330d7c5-6ae3-4852-b11f-43a4836170c2,4,119,1,0,1,New Feature Usage,0.0
31efbef6-be5a-4452-b5e3-8718a4cc1ad0,20,634,20,11,11,Complaints,55.00000000000001
31efbef6-be5a-4452-b5e3-8718a4cc1ad0,20,634,20,0,0,Overall Product Usage,0.0
31efbef6-be5a-4452-b5e3-8718a4cc1ad0,20,634,0,0,1,New Feature Usage,0.0
87ed24ba-2291-4c37-bfc8-436533af061b,8,388,8,8,19,Complaints,100.0
87ed24ba-2291-4c37-bfc8-436533af061b,8,388,8,2,54,Overall Product Usage,25.0
87ed24ba-2291-4c37-bfc8-436533af061b,8,388,2,2,0,New Feature Usage,100.0
89cb56b8-2017-469d-8ad4-8431915f892f,17,760,17,14,19,Complaints,82.35294117647058
89cb56b8-2017-469d-8ad4-8431915f892f,17,760,17,10,54,Overall Product Usage,58.82352941176471
89cb56b8-2017-469d-8ad4-8431915f892f,17,760,10,1,0,New Feature Usage,10.0
cc638bb9-e438-4beb-abc6-7790c5795f45,2,316,2,0,0,Complaints,0.0
cc638bb9-e438-4beb-abc6-7790c5795f45,2,316,2,2,60,Overall Product Usage,100.0
cc638bb9-e438-4beb-abc6-7790c5795f45,2,316,2,2,0,New Feature Usage,100.0
5d2c805c-0b46-44e6-ad47-be83c6f736f0,17,598,17,14,15,Complaints,82.35294117647058
5d2c805c-0b46-44e6-ad47-be83c6f736f0,17,598,17,12,98,Overall Product Usage,70.58823529411765
5d2c805c-0b46-44e6-ad47-be83c6f736f0,17,598,12,11,0,New Feature Usage,91.66666666666666
c24281d3-a119-48e0-9b89-788992f4b20d,3,209,3,0,0,Complaints,0.0
c24281d3-a119-48e0-9b89-788992f4b20d,3,209,3,3,30,Overall Product Usage,100.0
c24281d3-a119-48e0-9b89-788992f4b20d,3,209,3,0,1,New Feature Usage,0.0
a282bbfa-b564-41c8-a15e-16c15f081999,2,331,2,2,6,Complaints,100.0
a282bbfa-b564-41c8-a15e-16c15f081999,2,331,2,2,85,Overall Product Usage,100.0
a282bbfa-b564-41c8-a15e-16c15f081999,2,331,2,1,0,New Feature Usage,50.0
5e622929-af97-4c3d-b1af-c8adbf0976bd,13,364,13,5,12,Complaints,38.46153846153847
5e622929-af97-4c3d-b1af-c8adbf0976bd,13,364,13,8,63,Overall Product Usage,61.53846153846154
5e622929-af97-4c3d-b1af-c8adbf0976bd,13,364,8,4,0,New Feature Usage,50.0
4fd550c3-43ab-4549-9c41-72e672fce34d,16,541,16,12,17,Complaints,75.0
4fd550c3-43ab-4549-9c41-72e672fce34d,16,541,16,0,0,Overall Product Usage,0.0
4fd550c3-43ab-4549-9c41-72e672fce34d,16,541,0,0,1,New Feature Usage,0.0
0783a82e-7210-4a3f-83df-86ae0ce4ad11,8,403,8,4,16,Complaints,50.0
0783a82e-7210-4a3f-83df-86ae0ce4ad11,8,403,8,4,74,Overall Product Usage,50.0
0783a82e-7210-4a3f-83df-86ae0ce4ad11,8,403,4,3,0,New Feature Usage,75.0
ad17d536-0085-4e6b-abc6-222b22d57caa,3,81,3,1,7,Complaints,33.33333333333333
ad17d536-0085-4e6b-abc6-222b22d57caa,3,81,3,3,12,Overall Product Usage,100.0
ad17d536-0085-4e6b-abc6-222b22d57caa,3,81,3,2,0,New Feature Usage,66.66666666666666
301d8a84-df44-45b4-9a3a-95651c6e7bd0,13,552,13,1,20,Complaints,7.6923076923076925
301d8a84-df44-45b4-9a3a-95651c6e7bd0,13,552,13,0,0,Overall Product Usage,0.0
301d8a84-df44-45b4-9a3a-95651c6e7bd0,13,552,0,0,1,New Feature Usage,0.0
3563c1a6-5960-41d6-85ca-a2832e8cc39e,10,792,10,0,0,Complaints,0.0
3563c1a6-5960-41d6-85ca-a2832e8cc39e,10,792,10,10,14,Overall Product Usage,100.0
3563c1a6-5960-41d6-85ca-a2832e8cc39e,10,792,10,7,0,New Feature Usage,70.0
1352e69d-6366-4481-98a6-922450b7da40,20,358,20,3,16,Complaints,15.0
1352e69d-6366-4481-98a6-922450b7da40,20,358,20,5,96,Overall Product Usage,25.0
1352e69d-6366-4481-98a6-922450b7da40,20,358,5,3,0,New Feature Usage,60.0
0a5b0380-dd6f-4010-88be-c05c5e4fd35a,14,244,14,5,9,Complaints,35.714285714285715
0a5b0380-dd6f-4010-88be-c05c5e4fd35a,14,244,14,11,71,Overall Product Usage,78.57142857142857
0a5b0380-dd6f-4010-88be-c05c5e4fd35a,14,244,11,6,0,New Feature Usage,54.54545454545454
d14b5d87-2491-46da-94f4-913e29183eca,10,287,10,6,14,Complaints,60.0
d14b5d87-2491-46da-94f4-913e29183eca,10,287,10,2,14,Overall Product Usage,20.0
d14b5d87-2491-46da-94f4-913e29183eca,10,287,2,0,1,New Feature Usage,0.0
038c130b-336e-475c-ac9e-62ea55348124,5,166,5,3,7,Complaints,60.0
038c130b-336e-475c-ac9e-62ea55348124,5,166,5,1,33,Overall Product Usage,20.0
038c130b-336e-475c-ac9e-62ea55348124,5,166,1,0,1,New Feature Usage,0.0
ca9353f8-0812-493f-8395-4252f3a30d70,11,451,11,9,18,Complaints,81.81818181818183
ca9353f8-0812-493f-8395-4252f3a30d70,11,451,11,2,89,Overall Product Usage,18.181818181818183
ca9353f8-0812-493f-8395-4252f3a30d70,11,451,2,2,0,New Feature Usage,100.0
3dc9a075-0a72-4a2d-9dd1-ddbf51c0d297,4,546,4,1,7,Complaints,25.0
3dc9a075-0a72-4a2d-9dd1-ddbf51c0d297,4,546,4,2,96,Overall Product Usage,50.0
3dc9a075-0a72-4a2d-9dd1-ddbf51c0d297,4,546,2,1,0,New Feature Usage,50.0
4257f1be-34cd-4fcd-9411-64e42605125c,19,595,19,12,18,Complaints,63.1578947368421
4257f1be-34cd-4fcd-9411-64e42605125c,19,595,19,7,26,Overall Product Usage,36.84210526315789
4257f1be-34cd-4fcd-9411-64e42605125c,19,595,7,0,1,New Feature Usage,0.0
bdc20b73-fa4c-429b-a88b-fbe35be070a1,10,88,10,1,1,Complaints,10.0
bdc20b73-fa4c-429b-a88b-fbe35be070a1,10,88,10,0,0,Overall Product Usage,0.0
bdc20b73-fa4c-429b-a88b-fbe35be070a1,10,88,0,0,1,New Feature Usage,0.0
180f72c1-177e-444c-9f17-6b4fdb35227e,17,262,17,8,13,Complaints,47.05882352941176
180f72c1-177e-444c-9f17-6b4fdb35227e,17,262,17,11,26,Overall Product Usage,64.70588235294117
180f72c1-177e-444c-9f17-6b4fdb35227e,17,262,11,8,0,New Feature Usage,72.72727272727273
f6198f9b-a844-4d68-8113-48f18caa597d,14,586,14,8,15,Complaints,57.14285714285714
f6198f9b-a844-4d68-8113-48f18caa597d,14,586,14,3,58,Overall Product Usage,21.428571428571427
f6198f9b-a844-4d68-8113-48f18caa597d,14,586,3,1,0,New Feature Usage,33.33333333333333
26cf6137-851e-4ad7-871e-b81203e50e54,19,594,19,2,11,Complaints,10.526315789473683
26cf6137-851e-4ad7-871e-b81203e50e54,19,594,19,16,39,Overall Product Usage,84.21052631578947
26cf6137-851e-4ad7-871e-b81203e50e54,19,594,16,0,1,New Feature Usage,0.0
c81d4cd4-c334-429e-968c-80b9534aad58,6,518,6,3,15,Complaints,50.0
c81d4cd4-c334-429e-968c-80b9534aad58,6,518,6,2,90,Overall Product Usage,33.33333333333333
c81d4cd4-c334-429e-968c-80b9534aad58,6,518,2,2,0,New Feature Usage,100.0
5f2b18db-064a-4c49-b08a-8d146a2254b2,1,938,1,1,4,Complaints,100.0
5f2b18db-064a-4c49-b08a-8d146a2254b2,1,938,1,1,44,Overall Product Usage,100.0
5f2b18db-064a-4c49-b08a-8d146a2254b2,1,938,1,0,1,New Feature Usage,0.0
d0f6cbf1-ac95-48a8-9a80-c814637068fc,18,723,18,16,19,Complaints,88.88888888888889
d0f6cbf1-ac95-48a8-9a80-c814637068fc,18,723,18,14,33,Overall Product Usage,77.77777777777779
d0f6cbf1-ac95-48a8-9a80-c814637068fc,18,723,14,8,0,New Feature Usage,57.14285714285714
7861a5c5-51b9-4cae-845c-a36e9822a58c,15,96,15,12,17,Complaints,80.0
7861a5c5-51b9-4cae-845c-a36e9822a58c,15,96,15,11,44,Overall Product Usage,73.33333333333333
7861a5c5-51b9-4cae-845c-a36e9822a58c,15,96,11,10,0,New Feature Usage,90.9090909090909
ccf6aec9-63b4-4323-902f-523251aaceff,10,178,10,7,19,Complaints,70.0
ccf6aec9-63b4-4323-902f-523251aaceff,10,178,10,4,67,Overall Product Usage,40.0
ccf6aec9-63b4-4323-902f-523251aaceff,10,178,4,2,0,New Feature Usage,50.0
0e851ffb-9f5e-4c8c-90bc-0ea261352eec,19,162,19,19,19,Complaints,100.0
0e851ffb-9f5e-4c8c-90bc-0ea261352eec,19,162,19,19,28,Overall Product Usage,100.0
0e851ffb-9f5e-4c8c-90bc-0ea261352eec,19,162,19,11,0,New Feature Usage,57.89473684210527
18ae2765-1e62-407b-b3c1-0a107c75deae,20,228,20,5,10,Complaints,25.0
18ae2765-1e62-407b-b3c1-0a107c75deae,20,228,20,8,95,Overall Product Usage,40.0
18ae2765-1e62-407b-b3c1-0a107c75deae,20,228,8,8,0,New Feature Usage,100.0
4f10da2e-0d1c-4a5e-b0a8-c3b40883bd31,7,587,7,1,7,Complaints,14.285714285714285
4f10da2e-0d1c-4a5e-b0a8-c3b40883bd31,7,587,7,0,0,Overall Product Usage,0.0
4f10da2e-0d1c-4a5e-b0a8-c3b40883bd31,7,587,0,0,1,New Feature Usage,0.0
7816be63-7fcf-4723-b5df-cbf818b15165,2,483,2,1,19,Complaints,50.0
7816be63-7fcf-4723-b5df-cbf818b15165,2,483,2,1,100,Overall Product Usage,50.0
7816be63-7fcf-4723-b5df-cbf818b15165,2,483,1,0,1,New Feature Usage,0.0
545b909d-38dc-411f-a72c-9f1638556b58,6,442,6,5,14,Complaints,83.33333333333334
545b909d-38dc-411f-a72c-9f1638556b58,6,442,6,3,13,Overall Product Usage,50.0
545b909d-38dc-411f-a72c-9f1638556b58,6,442,3,1,0,New Feature Usage,33.33333333333333
ffcf61d3-3ddf-4bbc-8b14-23d496903191,16,996,16,16,16,Complaints,100.0
ffcf61d3-3ddf-4bbc-8b14-23d496903191,16,996,16,11,71,Overall Product Usage,68.75
ffcf61d3-3ddf-4bbc-8b14-23d496903191,16,996,11,4,0,New Feature Usage,36.36363636363637
8dbee3ab-355e-45a7-a66b-e00f2e2ff777,19,614,19,4,6,Complaints,21.052631578947366
8dbee3ab-355e-45a7-a66b-e00f2e2ff777,19,614,19,9,20,Overall Product Usage,47.368421052631575
8dbee3ab-355e-45a7-a66b-e00f2e2ff777,19,614,9,8,0,New Feature Usage,88.88888888888889
ac3a241f-28cd-45ec-b6c0-c591a3cddd00,15,919,15,8,15,Complaints,53.333333333333336
ac3a241f-28cd-45ec-b6c0-c591a3cddd00,15,919,15,5,14,Overall Product Usage,33.33333333333333
ac3a241f-28cd-45ec-b6c0-c591a3cddd00,15,919,5,0,1,New Feature Usage,0.0
31e63801-a68e-4fc8-83b3-1836c24fdd1b,3,853,3,1,8,Complaints,33.33333333333333
31e63801-a68e-4fc8-83b3-1836c24fdd1b,3,853,3,0,0,Overall Product Usage,0.0
31e63801-a68e-4fc8-83b3-1836c24fdd1b,3,853,0,0,1,New Feature Usage,0.0
8f8236d5-11db-417a-849e-e908e65325f3,4,146,4,3,11,Complaints,75.0
8f8236d5-11db-417a-849e-e908e65325f3,4,146,4,1,56,Overall Product Usage,25.0
8f8236d5-11db-417a-849e-e908e65325f3,4,146,1,0,1,New Feature Usage,0.0
36adde62-3c57-46b5-911c-f7d943e7a280,9,280,9,4,20,Complaints,44.44444444444444
36adde62-3c57-46b5-911c-f7d943e7a280,9,280,9,8,78,Overall Product Usage,88.88888888888889
36adde62-3c57-46b5-911c-f7d943e7a280,9,280,8,0,1,New Feature Usage,0.0
b064752d-bbf3-4e6e-9ec0-533a7f6752de,15,729,15,13,17,Complaints,86.66666666666667
b064752d-bbf3-4e6e-9ec0-533a7f6752de,15,729,15,13,19,Overall Product Usage,86.66666666666667
b064752d-bbf3-4e6e-9ec0-533a7f6752de,15,729,13,4,0,New Feature Usage,30.76923076923077
a692beb2-3fc7-42df-8feb-d89d674ecffa,15,935,15,7,10,Complaints,46.666666666666664
a692beb2-3fc7-42df-8feb-d89d674ecffa,15,935,15,5,66,Overall Product Usage,33.33333333333333
a692beb2-3fc7-42df-8feb-d89d674ecffa,15,935,5,3,0,New Feature Usage,60.0
1bc32d7f-8122-4d6a-a9f8-fce2d64bc69f,17,80,17,4,15,Complaints,23.52941176470588
1bc32d7f-8122-4d6a-a9f8-fce2d64bc69f,17,80,17,8,36,Overall Product Usage,47.05882352941176
1bc32d7f-8122-4d6a-a9f8-fce2d64bc69f,17,80,8,0,1,New Feature Usage,0.0
e9072678-8a4a-4219-a9e1-1005834bea75,12,294,12,10,16,Complaints,83.33333333333334
e9072678-8a4a-4219-a9e1-1005834bea75,12,294,12,0,0,Overall Product Usage,0.0
e9072678-8a4a-4219-a9e1-1005834bea75,12,294,0,0,1,New Feature Usage,0.0
15195c64-af56-411d-be43-652166528d2b,14,526,14,9,10,Complaints,64.28571428571429
15195c64-af56-411d-be43-652166528d2b,14,526,14,14,87,Overall Product Usage,100.0
15195c64-af56-411d-be43-652166528d2b,14,526,14,5,0,New Feature Usage,35.714285714285715
71b80aa5-3fcc-47de-93e7-dea91c6c5239,10,484,10,3,7,Complaints,30.0
71b80aa5-3fcc-47de-93e7-dea91c6c5239,10,484,10,8,41,Overall Product Usage,80.0
71b80aa5-3fcc-47de-93e7-dea91c6c5239,10,484,8,6,0,New Feature Usage,75.0
37cc830d-2bd4-4c69-9fe6-394390f23ccc,20,992,20,5,11,Complaints,25.0
37cc830d-2bd4-4c69-9fe6-394390f23ccc,20,992,20,11,45,Overall Product Usage,55.00000000000001
37cc830d-2bd4-4c69-9fe6-394390f23ccc,20,992,11,0,1,New Feature Usage,0.0
e17cd1f1-9200-4619-8321-068e62852c25,6,694,6,6,6,Complaints,100.0
e17cd1f1-9200-4619-8321-068e62852c25,6,694,6,0,0,Overall Product Usage,0.0
e17cd1f1-9200-4619-8321-068e62852c25,6,694,0,0,1,New Feature Usage,0.0
b872d885-bb6f-47af-843a-ac11016ef2f6,9,74,9,8,10,Complaints,88.88888888888889
b872d885-bb6f-47af-843a-ac11016ef2f6,9,74,9,8,24,Overall Product Usage,88.88888888888889
b872d885-bb6f-47af-843a-ac11016ef2f6,9,74,8,2,0,New Feature Usage,25.0
e60ccaa1-7ab4-4ca8-b096-4600ce6c5f5f,11,760,11,8,18,Complaints,72.72727272727273
e60ccaa1-7ab4-4ca8-b096-4600ce6c5f5f,11,760,11,1,10,Overall Product Usage,9.090909090909092
e60ccaa1-7ab4-4ca8-b096-4600ce6c5f5f,11,760,1,1,0,New Feature Usage,100.0
a02798f9-ca55-4919-b39d-4ecaa195da8d,10,78,10,4,7,Complaints,40.0
a02798f9-ca55-4919-b39d-4ecaa195da8d,10,78,10,7,42,Overall Product Usage,70.0
a02798f9-ca55-4919-b39d-4ecaa195da8d,10,78,7,4,0,New Feature Usage,57.14285714285714
372273f9-5df5-41bb-a5cf-a1b3ba24c040,18,306,18,13,13,Complaints,72.22222222222221
372273f9-5df5-41bb-a5cf-a1b3ba24c040,18,306,18,6,55,Overall Product Usage,33.33333333333333
372273f9-5df5-41bb-a5cf-a1b3ba24c040,18,306,6,5,0,New Feature Usage,83.33333333333334
cb3aae05-eb87-4685-979f-b78f3afe889c,7,307,7,0,0,Complaints,0.0
cb3aae05-eb87-4685-979f-b78f3afe889c,7,307,7,5,38,Overall Product Usage,71.42857142857143
cb3aae05-eb87-4685-979f-b78f3afe889c,7,307,5,5,0,New Feature Usage,100.0
043c8620-017f-4b4b-8f49-2c25eb147d31,5,626,5,2,15,Complaints,40.0
043c8620-017f-4b4b-8f49-2c25eb147d31,5,626,5,0,0,Overall Product Usage,0.0
043c8620-017f-4b4b-8f49-2c25eb147d31,5,626,0,0,1,New Feature Usage,0.0
c8f548aa-edc3-4715-8a0c-42b795004140,5,386,5,3,3,Complaints,60.0
c8f548aa-edc3-4715-8a0c-42b795004140,5,386,5,3,8,Overall Product Usage,60.0
c8f548aa-edc3-4715-8a0c-42b795004140,5,386,3,3,0,New Feature Usage,100.0
9c06a6cb-d66d-42fb-a0df-15ca36939b01,20,363,20,7,19,Complaints,35.0
9c06a6cb-d66d-42fb-a0df-15ca36939b01,20,363,20,10,28,Overall Product Usage,50.0
9c06a6cb-d66d-42fb-a0df-15ca36939b01,20,363,10,1,0,New Feature Usage,10.0
35ca0e23-076c-4a39-892b-4442829c95a2,14,452,14,0,0,Complaints,0.0
35ca0e23-076c-4a39-892b-4442829c95a2,14,452,14,9,20,Overall Product Usage,64.28571428571429
35ca0e23-076c-4a39-892b-4442829c95a2,14,452,9,1,0,New Feature Usage,11.11111111111111
66cb8cc8-94bf-4aba-aea5-05cfebea6318,15,634,15,2,17,Complaints,13.333333333333334
66cb8cc8-94bf-4aba-aea5-05cfebea6318,15,634,15,9,66,Overall Product Usage,60.0
66cb8cc8-94bf-4aba-aea5-05cfebea6318,15,634,9,5,0,New Feature Usage,55.55555555555556
